task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
30	37/01d7ef	nf-3701d7ef-1683584802023/nf-3701d7ef-168358-da4fece9-5a46-4d330	FASTQC (AD032-32_S12_L001)	ABORTED	-	2023-05-08 17:27:11.635	-	-	-	-	-	-	-
29	50/4c6c9b	nf-504c6c9b-1683584802076/nf-504c6c9b-168358-5558ba9c-db44-44480	BBMAP_BBDUK (AD032-32_S12_L001)	ABORTED	-	2023-05-08 17:27:12.292	-	-	-	-	-	-	-
31	8c/449f3f	nf-8c449f3f-1683584802098/nf-8c449f3f-168358-a5e4511c-5f27-4e220	FASTQC (AD032-32_S12_L002)	ABORTED	-	2023-05-08 17:27:13.115	-	-	-	-	-	-	-
34	78/7de374	nf-787de374-1683584802229/nf-787de374-168358-23b59e7e-ffd5-496f0	FASTQC (AD034-32_S7_L001)	ABORTED	-	2023-05-08 17:27:13.801	-	-	-	-	-	-	-
33	e3/f39601	nf-e3f39601-1683584802232/nf-e3f39601-168358-96be61da-98f3-48bc0	BBMAP_BBDUK (AD034-32_S7_L001)	ABORTED	-	2023-05-08 17:27:14.526	-	-	-	-	-	-	-
32	0f/1c5ef1	nf-0f1c5ef1-1683584802287/nf-0f1c5ef1-168358-16085c08-a7db-4e4a0	BBMAP_BBDUK (AD032-32_S12_L002)	ABORTED	-	2023-05-08 17:27:15.320	-	-	-	-	-	-	-
35	13/aeee87	nf-13aeee87-1683584802335/nf-13aeee87-168358-57110090-059d-41b60	FASTQC (AD034-32_S7_L002)	ABORTED	-	2023-05-08 17:27:17.023	-	-	-	-	-	-	-
36	7c/8fcb80	nf-7c8fcb80-1683584802365/nf-7c8fcb80-168358-6c70c253-8df6-40c20	BBMAP_BBDUK (AD034-32_S7_L002)	ABORTED	-	2023-05-08 17:27:17.806	-	-	-	-	-	-	-
37	1c/7be9bc	nf-1c7be9bc-1683584802698/nf-1c7be9bc-168358-261f0530-6e23-42380	FASTQC (AD034-42_S23_L001)	ABORTED	-	2023-05-08 17:27:18.553	-	-	-	-	-	-	-
38	93/0d0645	nf-930d0645-1683584802708/nf-930d0645-168358-e5a8fe3e-fb90-42cf0	BBMAP_BBDUK (AD034-42_S23_L001)	ABORTED	-	2023-05-08 17:27:19.259	-	-	-	-	-	-	-
